AUS_repeal_the_may_constitution,5
AUS_release_imprisoned_leaders,5
AUS_austria_against_fascism,7
AUS_austromarxism_focus,10
AUS_rally_the_people,10
AUS_ban_dnsap,7
AUS_renounce_the_treaties,10
AUS_schutzbund_support,10
AUS_emergency_measaures,10
AUS_intervention_in_spain,1
AUS_invite_spanish_exiles,1
AUS_celebrate_spanish_victory,1
AUS_revolution,5
AUS_seek_soviet_support,10
AUS_politicized_general_staff,7
AUS_promote_the_worthy,5
AUS_raid_military_storages,5
AUS_the_peoples_army,10
AUS_properly_trained_militias,5
AUS_a_new_beginning,10
AUS_a_safe_harbor_for_dissidents,7
AUS_universitat_wien,10
AUS_womens_education_initiative,5
AUS_scientific_grants,1
AUS_danubian_socialist_communes,5
AUS_establish_rote_hilfe,5
AUS_cut_ties_with_the_church,3
AUS_centralize_the_industrial_sector,7
AUS_align_with_ussr,7
AUS_join_comintern,10
AUS_spur_the_communist_resistance,7
AUS_rapid_revolutions,5
AUS_meticulous_preparations,7
AUS_demand_liberation_of_workers,10
AUS_union_of_danubian_socialist_republics,10
AUS_the_correct_communism,3
AUS_seize_galicia,10
AUS_hold_elections,7
AUS_rebuild_democratic_systems,3
AUS_a_new_constitution,7
AUS_seek_support_from_guarantors,10
AUS_stabilize_the_political_climate,7
AUS_outlaw_the_radicals,3
AUS_strengthen_the_cabinet,10
AUS_join_the_allies,5
AUS_industrial_exchange,1
AUS_alpine_federation_focus,1
AUS_invite_the_entente,1
AUS_offensive_on_the_fascists,1
AUS_pardon_political_exiles,3
AUS_the_right_to_rearm,10
AUS_defence_of_the_homeland,7
AUS_the_political_front,5
AUS_austrian_aggression,7
AUS_at_the_ready,5
AUS_form_evidenzburo,3
AUS_lawmaking_leniency,7
AUS_empowering_the_chancellor,3
AUS_join_the_research_program,10
AUS_the_right_to_self_determination,7
AUS_our_brothers_in_the_east,7
AUS_deal_with_the_german_threat,1
AUS_end_european_fascism,1
AUS_the_danubian_federation,1
AUS_invite_danubian_countries,1
AUS_danubian_unity,1
AUS_inviting_the_observers,1
AUS_unexpected_alliances,0.1
AUS_diplomatic_effort,1
AUS_protector_of_the_danube,1
AUS_via_danube_to_europe,1
AUS_reinstate_the_imperial_council,10
AUS_legacy_of_the_empire,7
AUS_repeal_the_habsburgergesetz,5
AUS_bring_back_the_habsburg_rule,7
AUS_rebellious_rearmament,1
AUS_strengthen_legitimistische_corps,10
AUS_legitimistische_studentenverbindung,3
AUS_sturmscharen_support,7
AUS_eiserne_legion,1
AUS_legitimistische_jugend,1
AUS_repeal_the_adelsaufhebungsgesetz,1
AUS_the_evidenzburo,1
AUS_the_royals_of_liechtenstein,5
AUS_osterreichische_akademie,10
AUS_royal_scientific_grants,1
AUS_war_against_bolshevism,1
AUS_crusade_on_communism,1
AUS_demand_hungarian_submission,1
AUS_join_the_axis,1
AUS_reforming_the_central_powers,1
AUS_a_royal_alliance,1
AUS_subjugate_lands_of_old,1
AUS_the_silesian_question,1
AUS_tighten_control_of_subjects,1
AUS_reclaim_habsburg,1
AUS_war_against_guarantors,1
AUS_renew_claims_in_italy,1
AUS_extend_italian_claims,1
AUS_strike_deal_with_italy,1
AUS_for_a_better_future,1
AUS_bring_hungary_back_into_the_fold,1
AUS_the_czechoslovakian_lands,1
AUS_reclaiming_yugoslavian_territories,1
AUS_take_albania,1
AUS_take_back_galicia,1
AUS_demand_romanian_lands,1
AUS_integrate_northwest,1
AUS_integrate_hungary,1
AUS_proclaim_austrian_empire,1
AUS_beyond_our_old_lands,1
AUS_totalitarian_safety,10
AUS_clamp_down_on_dnsap,10
AUS_supporting_italy_in_ethiopia_focus,1
AUS_approach_democratic_guarantors,1
AUS_reach_out_to_italy,1
AUS_refine_vaterlandische_front,5
AUS_seek_agreement_for_rearmament,1
AUS_disregard_the_treaties,1
AUS_rapid_rearmament,5
AUS_integrate_dnsap_remnants,10
AUS_heimwehr_support,10
AUS_spanish_intervention,1
AUS_demand_part_of_spanish_winnings,1
AUS_invite_spanish_refugees,1
AUS_frontmiliz_focus,3
AUS_fit_for_fight,5
AUS_form_nachrichtenabteilun,1
AUS_wienfilm_propaganda_effort,1
AUS_consolidate_industries,5
AUS_universitat_graz,5
AUS_recruiting_the_graduates,1
AUS_heritage_of_an_empire,10
AUS_second_brothers_war,1
AUS_an_improved_german_state,10
AUS_restoring_our_rightful_flag,0
AUS_seek_to_purchase_alaska,0
AUS_regulate_austrian_finance_sector,10
AUS_seek_papal_support,1
AUS_invest_in_erzberg_steel_mines,1
AUS_courting_the_princess_of_industry,1
AUS_expand_stpoltner_steelworks,1
AUS_invest_in_semperit_synthetics,1
AUS_pulverfabrik_skodawerke,1
AUS_the_matzen_oil_fields,1
AUS_architechtual_advancements,1
AUS_autobahn_west,1
AUS_autobahn_south,1
AUS_autobahn_east,1
AUS_bbo_focus,1
AUS_economic_resuscitation,10
AUS_devalue_the_schilling,5
AUS_bring_phonix_insurance_from_the_ashes,1
AUS_great_austrian_economic_push,1
AUS_volkschule,1
AUS_industrialization_effort,1
AUS_invest_in_alpen_elektrowerke,1
AUS_invest_in_kapsch,1
AUS_construction_guilds,1
AUS_apprentice_programmes,1
AUS_osterreichische_luftstreitkrafte,1
AUS_preparing_the_industry,1
AUS_purchase_foreign_designs,1
AUS_focus_on_domestic_production,1
AUS_flight_schools,1
AUS_seek_international_partners,1
AUS_air_research_boost,1
AUS_revitalize_austrian_air_industry,1
AUS_light_specialization,1
AUS_medium_specialization,1
AUS_heavy_specialization,1
AUS_air_base_intiative,1
AUS_wien_anti_air_effort,1
AUS_radar_effort,1
AUS_neustadter_flugzeugwerke,1
AUS_aerial_strategies,10
AUS_secret_rearmament,10
AUS_militarization_effort,10
AUS_osterreichische_bundesheer,1
AUS_standardized_army_training,1
AUS_osterreichische_fallschirmsjager,1
AUS_osterreichische_gebirgsjager,1
AUS_osterreichische_seebataillon,3
AUS_steyr_arms_investment,3
AUS_supporting_the_troops,1
AUS_improve_army_logistics,3
AUS_reinforcing_the_supply_network,1
AUS_follow_the_jansa_plan,1
AUS_bring_generals_out_of_retirement,3
AUS_the_homeland_front,3
AUS_fortify_the_traun_line,5
AUS_extend_the_traun_line,1
AUS_establish_bohme_plan,2
AUS_intensify_training_efforts,3
AUS_heeding_the_call_of_duty,1
AUS_strengthen_the_arms_industry,1
AUS_improved_warfare_strategies,1
AUS_hirtenberger_artillery,1
AUS_saurerwerke,1
AUS_graf_und_stift_focus,1
AUS_invite_foreign_tank_designers,1
AUS_basic_tanks,1
AUS_reestablish_austrian_navy,1
AUS_rebuild_the_armada,1
AUS_revive_stt,1
AUS_streamline_production,1
AUS_continue_old_production,1
AUS_reclaim_dockyards,1
AUS_promote_admirals,1
AUS_defending_the_coast,1
AUS_elin,1
AUS_light_ship_bonus,1
AUS_coastal_defence_forts,1
AUS_naval_efficiency,1
